Age,CCAvg,CD_Account,CreditCard,Education,Experience,Family,Income,Mortgage,Mortgage > 0,Online,Personal_Loan,Securities_Account,ZIPCode (SCF)
56,2.2,0,1,3,30,1,61,0,,1,0,0,94
32,0.3,0,1,1,6,2,25,0,,0,0,0,92
45,1.7,0,0,2,19,2,83,0,,1,0,0,95
26,2.5,0,0,1,2,3,104,0,,0,0,0,94
55,1.0,0,0,3,25,3,41,0,,1,0,0,95
52,1.8,0,0,3,27,4,58,91,91.0,0,0,0,94
39,1.5,0,1,3,13,1,93,0,,0,0,0,94
24,1.7,0,0,2,1,2,39,0,,0,0,0,94
47,1.9,1,1,3,22,4,53,98,98.0,0,0,1,92
48,1.7,0,1,1,24,2,71,145,145.0,0,0,0,93
47,2.8,0,0,2,22,1,92,0,,1,0,0,94
35,2.1,0,0,3,10,4,61,0,,1,0,0,94
46,2.5,0,0,2,19,3,38,135,135.0,0,0,0,94
62,1.7,0,0,1,37,4,58,0,,1,0,0,91
26,0.8,0,0,2,1,1,80,150,150.0,0,0,0,95
38,1.8,0,0,3,8,4,71,0,,1,0,0,94
43,0.5,0,1,3,18,3,89,0,,1,0,0,93
62,1.8,0,0,3,38,1,83,0,,1,0,0,92
57,0.2,0,1,1,32,3,28,0,,1,0,0,95
28,1.7,0,0,2,3,4,52,0,,0,0,0,94
51,1.2,0,0,1,26,1,70,169,169.0,0,0,0,90
48,1.4,0,1,3,22,1,71,0,,0,0,0,91
41,0.8,0,0,1,17,4,78,78,78.0,1,0,0,94
35,1.0,0,0,2,11,2,25,0,,0,0,0,92
38,0.6,0,1,3,14,2,60,0,,1,0,0,94
53,2.7,1,0,2,29,4,120,111,111.0,1,1,1,92
26,2.6,0,1,3,1,3,55,113,113.0,0,0,0,90
30,1.0,0,0,2,6,3,29,117,117.0,0,0,0,94
65,2.2,0,1,1,40,3,53,0,,0,0,0,91
47,0.0,0,0,1,21,1,138,0,,0,0,0,94
65,3.9,0,0,3,41,3,134,121,121.0,1,1,0,91
66,0.7,0,1,3,40,2,42,138,138.0,0,0,0,92
26,2.3,0,1,3,0,4,99,0,,0,0,0,92
66,0.5,0,1,1,41,3,18,0,,0,0,0,92
35,0.3,0,0,1,9,4,24,0,,1,0,0,95
56,1.4,0,0,1,30,1,55,77,77.0,1,0,0,94
51,0.0,0,1,1,27,1,58,0,,0,0,0,92
42,1.2,0,0,3,16,2,111,251,251.0,1,1,0,93
49,0.3,1,1,3,23,1,33,0,,1,0,0,90
27,1.8,0,1,2,1,4,74,112,112.0,1,0,0,92
45,0.7,0,0,1,19,2,38,0,,0,0,0,90
49,0.6,0,0,3,23,4,23,98,98.0,0,0,1,94
63,1.5,0,0,1,38,2,61,0,,1,0,0,94
47,2.9,0,0,1,22,1,81,138,138.0,0,0,0,90
64,2.5,0,0,1,39,1,129,0,,1,0,0,94
43,0.75,0,0,3,13,1,33,0,,0,0,0,95
60,2.2,0,0,1,36,4,63,0,,1,0,0,94
40,1.4,0,0,2,14,4,70,0,,1,0,0,94
29,0.2,0,1,1,3,4,45,158,158.0,1,0,0,95
41,0.5,0,0,3,16,3,65,0,,1,0,0,90
30,2.2,0,1,1,5,4,74,0,,0,0,1,95
49,1.8,0,0,3,24,4,50,0,,0,0,1,94
30,0.5,0,0,3,5,4,22,109,109.0,1,0,0,90
29,1.0,0,0,3,2,4,30,0,,0,0,0,92
50,1.0,0,0,1,26,4,21,0,,1,0,0,91
39,3.9,0,0,1,14,2,155,0,,1,0,0,94
33,2.1,0,0,3,8,4,64,164,164.0,1,0,0,92
57,2.6,0,1,3,31,4,65,0,,0,0,0,94
34,0.7,0,0,3,9,4,71,0,,1,0,0,91
61,0.5,0,0,2,36,3,40,0,,1,0,1,90
44,0.5,0,0,3,19,3,69,0,,1,0,0,92
40,2.33,0,0,2,13,3,69,0,,0,0,0,94
51,0.6,0,0,2,25,3,45,131,131.0,1,0,0,94
37,0.7,0,1,2,12,3,62,0,,0,0,0,92
42,1.0,0,1,2,15,3,24,0,,1,0,0,92
51,4.9,0,0,1,25,1,80,0,,0,0,0,92
43,0.67,0,0,2,16,3,8,88,88.0,1,0,0,90
30,0.8,0,1,1,5,4,38,129,129.0,1,0,0,94
45,2.6,0,0,3,19,4,93,0,,0,0,0,90
35,2.0,0,0,1,9,1,55,0,,1,0,0,94
60,1.7,0,1,3,34,2,64,0,,0,0,0,94
34,0.0,0,0,1,9,1,122,0,,1,0,0,90
55,1.4,0,0,3,25,3,70,0,,1,0,0,93
43,3.2,0,0,1,19,2,81,0,,0,0,0,92
34,1.3,0,0,1,9,4,70,0,,0,0,1,92
48,0.1,0,0,1,23,1,22,0,,0,0,0,90
60,1.3,0,0,1,35,1,22,123,123.0,1,0,0,91
55,0.8,0,1,1,29,3,79,0,,1,0,0,92
42,1.4,0,0,3,18,1,33,0,,1,0,0,90
32,4.33,1,1,1,8,2,128,0,,1,0,0,94
62,3.8,0,0,1,38,1,91,0,,1,0,1,95
57,0.9,0,1,1,32,4,39,0,,1,0,0,90
36,0.67,0,0,3,6,1,21,0,,1,0,1,91
34,2.3,0,1,1,9,3,41,0,,0,0,0,93
63,0.7,0,0,3,37,2,45,0,,1,0,0,93
24,0.3,0,0,3,2,3,51,0,,1,0,0,90
57,1.6,0,0,2,31,1,165,0,,1,1,0,95
40,4.2,0,0,2,16,2,119,0,,1,1,0,91
27,1.8,0,0,3,2,4,110,190,190.0,1,0,0,95
65,0.7,0,1,2,39,3,20,0,,0,0,0,90
60,0.8,0,0,2,34,1,64,248,248.0,0,0,0,90
44,4.4,0,0,2,20,3,101,82,82.0,0,1,0,92
63,3.9,1,0,1,39,1,101,0,,1,1,1,92
59,4.4,0,0,1,34,1,99,0,,0,1,0,90
54,1.9,0,1,2,28,1,89,0,,1,0,0,95
52,1.3,1,1,3,27,1,80,0,,1,0,0,95
60,0.5,0,1,2,35,3,49,0,,1,0,0,94
54,1.0,0,0,2,30,4,78,0,,1,0,0,92
32,1.0,0,0,1,6,3,28,0,,0,0,0,94
59,0.8,0,0,2,33,1,42,0,,1,0,0,95
63,2.5,0,0,1,38,1,140,0,,0,0,0,92
48,1.3,0,0,2,23,1,45,0,,1,0,0,95
36,2.6,0,0,2,12,3,65,0,,1,0,0,95
57,1.4,0,0,3,27,1,68,0,,1,0,0,94
39,1.4,0,0,2,13,4,89,0,,0,0,0,92
59,2.6,0,1,1,34,1,91,0,,1,0,0,93
31,2.0,0,0,2,6,4,55,185,185.0,1,0,0,92
43,3.3,0,1,1,19,2,118,0,,0,0,0,91
35,0.67,0,0,3,5,1,22,103,103.0,0,0,0,93
54,1.4,0,1,3,24,3,63,138,138.0,1,0,0,92
51,0.5,0,0,2,27,4,12,78,78.0,1,0,1,92
44,2.7,0,0,2,19,3,50,0,,1,0,0,90
25,1.6,1,1,3,0,2,43,0,,1,0,1,94
26,3.0,0,0,1,2,2,60,132,132.0,0,1,0,93
39,1.0,0,0,3,14,1,113,0,,1,0,1,94
52,1.0,0,1,2,28,4,91,0,,0,0,0,92
53,1.1,0,0,2,29,4,55,0,,1,0,0,95
43,0.3,0,1,3,19,3,71,0,,0,0,0,92
56,0.4,0,0,3,30,2,24,88,88.0,0,0,0,94
38,2.0,0,0,2,14,1,42,81,81.0,1,0,0,94
30,4.33,0,0,1,6,2,141,0,,1,0,0,94
32,1.9,0,0,3,6,1,32,0,,1,0,0,93
35,1.3,0,0,1,10,4,55,0,,0,0,0,94
25,1.7,0,0,2,0,2,30,0,,0,0,0,92
54,1.0,0,1,3,24,3,29,148,148.0,0,0,0,92
50,0.3,0,0,3,24,1,35,0,,1,0,0,92
32,2.0,0,0,2,8,2,98,175,175.0,1,0,0,95
63,1.0,0,0,3,37,2,30,159,159.0,1,0,0,92
31,2.5,0,1,1,6,2,58,0,,0,0,0,95
36,1.0,0,0,1,12,4,25,147,147.0,0,0,0,92
58,0.7,0,0,1,34,4,19,0,,0,0,0,92
56,0.7,0,0,2,30,4,44,174,174.0,1,0,0,93
49,1.0,0,1,1,25,4,20,111,111.0,1,0,0,90
30,3.1,0,0,1,5,2,98,220,220.0,1,0,0,91
33,1.6,0,0,1,7,3,90,0,,1,0,0,92
45,0.7,0,0,1,21,3,61,0,,0,0,0,94
30,2.0,0,0,2,5,4,40,0,,1,0,0,94
47,2.1,0,0,3,23,2,38,0,,0,0,0,94
25,1.7,0,0,2,0,2,28,0,,0,0,0,92
63,1.5,0,1,3,33,1,34,0,,1,0,0,94
55,2.3,0,1,3,29,2,73,0,,1,0,0,95
65,2.0,0,1,1,41,4,133,0,,0,1,0,94
44,0.2,0,0,1,18,1,53,0,,1,0,0,94
51,0.6,0,1,3,25,4,21,0,,1,0,0,93
35,0.9,0,0,1,9,3,40,0,,1,0,0,93
30,1.7,0,0,2,5,4,41,0,,1,0,0,95
31,1.8,0,0,2,5,4,82,0,,1,0,0,95
54,3.4,0,0,3,30,4,100,0,,0,1,0,95
45,0.2,0,0,1,19,1,45,0,,1,0,0,92
58,0.3,0,1,3,32,3,9,0,,0,0,0,94
54,1.8,0,0,3,29,4,48,0,,1,0,0,91
53,0.1,1,1,3,28,4,18,109,109.0,1,0,1,90
33,3.4,0,1,1,9,4,80,0,,1,0,0,91
60,2.8,0,0,1,35,2,64,0,,0,0,0,94
50,0.1,0,0,1,24,4,29,0,,0,0,0,93
26,0.7,0,0,2,2,3,48,0,,1,0,0,90
54,0.4,0,0,1,30,2,23,0,,0,0,0,94
28,0.2,0,1,1,3,4,84,0,,1,0,0,90
29,1.5,0,1,2,2,4,30,112,112.0,0,0,0,95
54,4.9,1,1,1,28,1,93,133,133.0,1,0,0,91
55,1.9,0,0,2,30,2,39,0,,0,0,0,92
61,0.5,0,0,2,36,3,60,182,182.0,0,0,0,92
45,2.4,0,0,1,19,1,125,0,,0,0,0,92
64,1.8,0,0,3,40,1,58,0,,1,0,0,93
60,2.8,0,0,1,36,2,89,0,,1,0,0,91
49,2.67,0,0,2,22,1,82,125,125.0,1,0,0,90
47,3.3,0,1,1,23,2,110,0,,1,0,0,94
60,2.3,0,0,3,36,4,54,0,,0,0,1,92
45,1.9,0,0,3,20,4,89,0,,1,0,0,93
32,2.3,0,0,1,7,3,42,0,,1,0,0,92
52,1.9,0,1,2,28,3,41,0,,0,0,0,94
35,1.0,0,0,2,8,4,38,124,124.0,1,0,0,93
40,0.4,0,0,1,15,2,85,0,,1,0,0,94
53,1.0,0,0,2,29,4,83,0,,1,0,0,90
27,1.0,0,0,3,0,4,33,0,,0,0,0,90
58,2.1,0,1,1,33,4,50,0,,0,0,0,94
47,3.6,0,1,3,22,4,58,0,,1,0,0,93
28,3.1,0,0,2,3,4,115,0,,0,1,0,92
56,0.2,0,0,1,30,1,38,0,,0,0,0,92
28,0.8,0,0,1,3,4,28,0,,1,0,0,90
42,2.33,0,1,1,18,3,75,0,,0,0,0,92
32,1.3,0,1,1,7,3,35,116,116.0,0,0,0,92
62,1.0,0,1,1,38,2,24,116,116.0,0,0,0,94
37,0.1,0,0,2,13,4,78,0,,1,0,0,94
51,1.3,0,0,3,26,1,113,161,161.0,1,0,0,94
39,2.1,0,0,1,13,3,75,224,224.0,1,0,0,94
52,0.2,0,1,1,28,4,31,141,141.0,1,0,0,91
30,1.8,0,0,2,6,1,45,0,,1,0,0,95
52,0.8,0,0,1,26,3,80,0,,0,0,0,94
61,1.4,0,0,3,35,3,50,112,112.0,1,0,0,92
36,1.0,0,0,2,9,4,31,0,,1,0,1,95
58,3.8,1,1,2,32,2,113,119,119.0,1,1,0,93
47,0.6,0,0,1,23,4,29,0,,1,0,0,94
64,1.5,0,0,1,39,2,59,139,139.0,1,0,0,92
52,1.3,0,0,2,27,1,43,0,,1,0,1,93
58,3.0,0,0,3,28,1,122,115,115.0,1,1,0,95
48,1.0,0,0,1,24,1,29,0,,0,0,0,90
64,0.0,0,1,3,40,2,91,0,,1,0,0,93
58,2.2,0,0,3,32,3,65,0,,1,0,0,94
47,1.0,0,1,1,23,1,22,0,,0,0,0,93
49,1.4,0,0,3,23,1,71,0,,0,0,0,95
31,2.0,0,1,2,4,4,60,0,,1,0,0,94
61,2.0,0,0,3,37,3,60,0,,1,0,0,91
51,0.3,0,1,1,25,1,69,0,,1,0,0,95
28,1.75,0,0,3,2,2,48,89,89.0,1,0,0,94
39,0.2,0,0,2,13,3,21,0,,0,0,0,94
54,2.8,0,0,2,28,4,53,0,,0,0,1,92
50,0.9,0,0,3,24,3,29,0,,0,0,0,94
30,2.2,0,0,2,4,4,60,0,,1,0,0,91
64,0.5,0,0,2,39,3,42,116,116.0,1,0,0,92
29,0.3,0,0,3,3,3,69,0,,0,0,0,94
48,1.0,0,1,1,24,1,20,0,,1,0,0,95
60,2.1,0,1,1,36,2,141,0,,1,0,0,90
55,3.7,0,0,1,30,2,81,0,,0,0,1,92
43,3.6,0,1,3,19,4,83,0,,0,1,0,94
66,1.9,0,0,2,42,1,35,172,172.0,1,0,0,94
25,0.9,0,0,3,0,2,13,0,,1,0,0,91
45,2.4,0,1,1,20,1,39,0,,0,0,0,90
34,0.5,0,0,3,10,1,21,0,,1,0,0,92
48,0.7,0,1,3,23,2,10,0,,1,0,0,94
32,1.8,0,0,2,6,4,84,0,,0,0,0,91
50,0.1,0,1,1,24,4,30,161,161.0,1,0,0,91
43,0.3,0,0,1,19,4,31,156,156.0,1,0,0,90
60,0.8,0,1,2,34,1,53,0,,0,0,1,92
64,0.4,0,0,2,39,4,24,78,78.0,1,0,0,95
44,3.3,0,1,1,20,2,150,0,,0,0,0,95
54,1.6,0,1,3,29,3,68,0,,1,0,0,94
33,1.2,0,1,1,9,1,53,0,,0,0,0,94
56,4.6,1,0,2,32,1,173,88,88.0,1,1,0,94
29,1.0,0,0,2,5,3,30,0,,0,0,0,90
25,0.2,0,1,1,1,2,113,0,,1,0,0,95
60,0.8,0,0,2,34,1,15,0,,1,0,0,95
39,1.4,0,1,2,13,4,88,0,,1,0,0,94
37,2.8,0,0,1,13,3,43,0,,1,0,0,94
53,2.1,1,1,3,28,2,43,0,,1,0,0,91
34,2.7,0,0,1,10,2,90,0,,1,0,0,94
42,0.3,0,0,1,18,4,34,104,104.0,1,0,1,92
60,1.3,0,0,1,36,4,38,0,,1,0,0,94
50,1.0,0,1,1,24,1,173,0,,1,0,0,94
25,0.6,0,1,2,0,4,44,0,,1,0,0,94
50,0.4,0,0,3,24,2,83,0,,1,0,0,94
48,2.6,0,0,3,22,4,94,0,,1,0,0,90
32,2.1,0,1,3,8,1,43,0,,0,0,0,95
50,1.7,0,0,2,25,3,42,0,,1,0,0,93
59,0.3,0,0,1,33,2,34,0,,0,0,0,92
50,1.9,0,0,2,26,3,39,0,,1,0,0,90
44,0.1,0,0,2,19,1,70,0,,0,0,0,92
31,1.8,0,1,3,5,4,39,185,185.0,0,0,0,94
40,2.0,0,0,3,10,3,44,0,,1,0,0,94
36,3.1,0,0,2,12,3,69,0,,1,1,0,94
51,0.9,0,0,3,25,3,44,0,,0,0,0,94
64,0.1,0,0,3,40,3,32,0,,1,0,0,91
47,0.7,0,0,3,22,2,15,0,,0,0,0,95
51,1.3,0,0,2,26,1,62,221,221.0,1,0,0,95
31,2.2,0,0,2,5,4,82,0,,0,0,0,94
39,3.0,0,1,1,14,3,54,108,108.0,0,0,0,95
30,2.1,0,0,3,6,1,48,0,,0,0,0,94
27,0.3,0,0,3,1,3,74,0,,1,0,0,91
41,1.0,0,1,3,16,1,113,211,211.0,0,0,0,92
53,1.7,0,0,2,27,3,81,0,,0,0,0,90
54,1.0,0,0,2,27,3,43,169,169.0,0,0,0,92
28,1.8,0,0,2,4,1,34,0,,1,0,0,92
34,2.5,0,0,3,9,1,48,105,105.0,1,0,0,95
61,1.2,0,1,2,37,4,54,129,129.0,1,0,0,90
48,1.4,0,0,2,24,4,75,0,,1,0,0,92
36,2.8,0,0,1,11,1,72,224,224.0,0,0,0,91
56,0.9,0,0,1,31,4,39,0,,0,0,0,93
24,0.2,0,0,1,1,4,75,0,,1,0,0,93
64,2.8,0,0,1,38,2,79,179,179.0,0,0,0,94
33,0.1,0,0,1,8,2,65,89,89.0,1,0,0,90
39,0.8,0,0,2,15,1,82,0,,1,0,0,95
54,0.2,0,1,1,30,2,21,0,,0,0,0,91
32,2.1,1,1,3,6,4,50,0,,1,0,1,90
